Email,Total words,Unique words,First word,Last Word,isSpam
0,258,127,,URL,false
1,113,80,martin,URL,false
2,256,149,man,URL,false
3,169,112,klez,URL,false
4,145,101,,URL,false
5,101,69,,URL,false
6,206,124,the,URL,false
7,172,111,martin,URL,false
8,1040,479,the,URL,false
9,107,81,i,URL,false
10,59,49,hello,URL,false
11,152,105,yes,URL,false
12,188,111,on,URL,false
13,275,149,,doers,false
14,709,356,spamassassin,URL,false
15,95,71,hi,URL,false
16,168,120,,URL,false
17,131,76,in,URL,false
18,41,32,apols,URL,false
19,84,61,can,URL,false
20,49,40,,URL,false
21,263,142,on,URL,false
22,283,151,john,URL,false
23,134,80,hey,URL,false
24,152,111,,URL,false
25,413,252,,URL,false
26,233,152,folks,URL,false
27,57,51,on,URL,false
28,91,71,joseph,URL,false
29,470,233,update,URL,false
30,61,51,has,URL,false
31,112,83,an,URL,false
32,48,37,this,URL,false
33,37,28,al,URL,false
34,95,72,hi,URL,false
35,149,104,mark,URL,false
36,457,250,on,URL,false
37,334,196,hehe,URL,false
38,237,147,at,URL,false
39,169,112,manoj,URL,false
40,83,57,lucas,URL,false
41,55,45,on,URL,false
42,341,164,,URL,false
43,144,104,according,URL,false
44,149,107,whore,URL,false
45,26,21,i,dan,false
46,175,102,it,URL,false
47,183,129,,picasso,false
48,92,67,on,ross,false
49,794,341,on,URL,false
50,46,39,is,URL,false
51,135,100,,URL,false
52,142,97,john,URL,false
53,115,75,,URL,false
54,16,13,,URL,false
55,58,43,,URL,false
56,162,114,all,URL,false
57,125,90,i,URL,false
58,150,99,good,URL,false
59,83,51,use,there,false
60,447,221,on,URL,false
61,128,84,i,NUMBER,false
62,183,109,bob,URL,false
63,2006,1040,,comply,false
64,24,19,,i,false
65,99,83,,URL,false
66,343,172,,ireland,false
67,301,138,severity,URL,false
68,178,110,i,URL,false
69,376,225,bill,side,false
70,59,51,on,URL,false
71,125,92,dan,URL,false
72,180,99,,URL,false
73,640,266,,URL,false
74,49,36,,URL,false
75,33,23,on,URL,false
76,602,287,from,URL,false
77,169,122,on,URL,false
78,58,51,reza,joe,false
79,106,72,if,URL,false
80,341,181,on,URL,false
81,49,41,,matter,false
82,110,76,adam,URL,false
83,103,64,on,URL,false
84,193,123,on,URL,false
85,38,29,,URL,false
86,777,343,reza,_,false
87,204,117,i,URL,false
88,282,162,i,URL,false
89,172,109,hi,URL,false
90,249,137,hi,URL,false
91,73,64,i,URL,false
92,163,98,ray,URL,false
93,164,124,,URL,false
94,70,58,justin,URL,false
95,254,141,,URL,false
96,58,46,hi,URL,false
97,389,215,,URL,false
98,187,123,i,URL,false
99,121,85,ok,URL,false
100,180,97,vernon,months,false
101,67,51,on,URL,false
102,181,133,,URL,false
103,216,135,here,URL,false
104,189,98,on,URL,false
105,108,77,john,URL,false
106,233,138,david,URL,false
107,155,91,is,URL,false
108,315,153,seems,URL,false
109,108,82,it,URL,false
110,175,120,on,URL,false
111,194,126,having,URL,false
112,283,163,on,URL,false
113,126,88,,URL,false
114,171,104,,URL,false
115,94,72,so,URL,false
116,275,165,,URL,false
117,162,100,understand,URL,false
118,231,145,ananova,URL,false
119,117,87,,URL,false
120,89,72,,URL,false
121,153,98,,URL,false
122,106,76,,URL,false
123,77,61,just,URL,false
124,158,97,,URL,false
125,157,108,even,URL,false
126,38,29,tom,URL,false
127,460,231,what,URL,false
128,94,55,use,there,false
129,253,136,use,there,false
130,166,104,,URL,false
131,161,108,,URL,false
132,153,108,,URL,false
133,108,80,,URL,false
134,164,105,,URL,false
135,124,51,hi,URL,false
136,78,58,url,URL,false
137,231,154,url,URL,false
138,54,42,url,URL,false
139,38,33,url,URL,false
140,30,22,url,URL,false
141,41,30,url,URL,false
142,21,16,url,police,false
143,34,28,url,strip,false
144,33,26,url,presence,false
145,26,24,url,question,false
146,25,23,url,mistake,false
147,23,23,url,hands,false
148,24,23,url,disease,false
149,109,85,quoting,URL,false
150,176,121,brendan,URL,false
151,102,76,thanks,URL,false
152,787,322,,URL,false
153,331,181,,URL,false
154,85,65,,URL,false
155,682,342,,URL,false
156,336,196,,URL,false
157,664,333,nobel,URL,false
158,257,161,,URL,false
159,272,159,ananova,URL,false
160,273,141,ananova,URL,false
161,146,94,hubble,URL,false
162,111,84,actually,URL,false
163,341,216,rohit,greg,false
164,331,228,,URL,false
165,1363,630,to,URL,false
166,75,54,from,URL,false
167,93,69,,URL,false
168,157,113,on,URL,false
169,34,26,,URL,false
170,109,83,on,URL,false
171,257,154,david,URL,false
172,103,78,,URL,false
173,295,177,,URL,false
174,138,98,,URL,false
175,86,69,,URL,false
176,542,282,on,URL,false
177,334,191,,URL,false
178,558,221,,URL,false
179,737,371,the,URL,false
180,479,260,the,URL,false
181,1179,550,,URL,false
182,618,310,,URL,false
183,378,234,,URL,false
184,95,77,,URL,false
185,418,231,the,URL,false
186,390,187,the,URL,false
187,242,161,,URL,false
188,174,121,on,URL,false
189,773,386,,picasso,false
190,124,87,,now,false
191,235,153,,picasso,false
192,22,21,,owen,false
193,99,71,,URL,false
194,166,120,,URL,false
195,63,51,,URL,false
196,73,61,,URL,false
197,125,87,hey,URL,false
198,71,57,,URL,false
199,223,149,on,URL,false
200,84,73,if,URL,false
201,117,82,inn,URL,false
202,56,49,philip,URL,false
203,319,151,on,URL,false
204,145,100,might,URL,false
205,124,82,hi,URL,false
206,125,83,darren,URL,false
207,137,105,philip,URL,false
208,138,94,on,URL,false
209,203,129,ok,URL,false
210,78,66,john,URL,false
211,271,154,i,URL,false
212,423,215,,URL,false
213,207,126,,URL,false
214,111,81,john,URL,false
215,254,148,hello,URL,false
216,180,117,paul,URL,false
217,104,83,inn,URL,false
218,97,78,inn,URL,false
219,110,86,david,URL,false
220,129,99,,URL,false
221,62,45,on,URL,false
222,532,267,hi,URL,false
223,226,105,while,URL,false
224,1311,533,,URL,false
225,81,65,barbara,URL,false
226,81,63,,URL,false
227,181,120,,URL,false
228,410,214,,URL,false
229,233,145,evening,URL,false
230,139,93,hi,URL,false
231,444,228,,URL,false
232,428,221,,URL,false
233,267,159,ananova,URL,false
234,379,201,not,URL,false
235,55,48,does,URL,false
236,59,50,ive,URL,false
237,146,107,martin,URL,false
238,156,114,,URL,false
239,448,244,the,URL,false
240,170,110,near,URL,false
241,163,108,bill,URL,false
242,59,46,of,URL,false
243,265,164,the,URL,false
244,88,71,,URL,false
245,120,90,martin,URL,false
246,468,264,the,URL,false
247,34,30,hi,URL,false
248,74,61,quoting,URL,false
249,455,212,on,URL,false
250,792,313,hello,URL,false
251,96,75,quoting,URL,false
252,387,167,hello,URL,false
253,630,252,on,URL,false
254,300,172,hi,URL,false
255,117,81,,ben,false
256,91,77,on,njl,false
257,133,102,,empire,false
258,54,47,,off,false
259,79,56,the,jim,false
260,877,416,,empire,false
261,51,42,,folks,false
262,84,73,so,cable,false
263,122,79,,thought,false
264,5988,1665,i,past,false
265,140,102,,jim,false
266,100,70,at,com,false
267,232,147,hi,URL,false
268,183,129,colin,URL,false
269,153,101,zzzz,URL,false
270,1858,663,,URL,false
271,226,152,quoting,URL,false
272,128,89,on,URL,false
273,247,146,quoting,URL,false
274,68,52,matthias,URL,false
275,62,45,any,URL,false
276,182,88,laurent,URL,false
277,178,116,on,URL,false
278,100,71,matthias,URL,false
279,461,246,on,URL,false
280,108,74,since,URL,false
281,346,129,,URL,false
282,293,163,on,URL,false
283,184,112,on,URL,false
284,108,82,on,URL,false
285,143,95,on,URL,false
286,94,73,i,URL,false
287,155,98,once,URL,false
288,120,81,on,URL,false
289,65,56,hi,URL,false
290,241,136,once,URL,false
291,280,171,on,URL,false
292,370,202,looks,URL,false
293,90,59,,URL,false
294,230,144,,URL,false
295,69,52,on,URL,false
296,71,57,,URL,false
297,146,98,lucas,URL,false
298,190,112,russell,URL,false
299,265,140,,URL,false
300,139,99,,URL,false
301,2696,899,this,URL,false
302,360,182,remember,URL,false
303,281,152,on,URL,false
304,2315,876,,URL,false
305,123,79,,URL,false
306,53,43,does,URL,false
307,107,80,hire,URL,false
308,134,95,on,URL,false
309,69,43,r,URL,false
310,91,72,adam,URL,false
311,152,104,so,URL,false
312,64,56,on,URL,false
313,259,156,at,URL,false
314,362,203,on,URL,false
315,61,52,actually,URL,false
316,572,309,i,URL,false
317,572,309,i,URL,false
318,572,309,i,URL,false
319,542,319,thx,URL,false
320,1019,430,right,URL,false
321,68,49,justin,URL,false
322,422,209,,URL,false
323,170,103,on,URL,false
324,1613,607,hi,URL,false
325,415,215,didn,URL,false
326,200,138,there,URL,false
327,175,99,doom,URL,false
328,226,135,i,URL,false
329,326,177,more,URL,false
330,82,61,this,NUMBER,false
331,244,150,on,URL,false
332,258,164,on,URL,false
333,114,85,jim,joe,false
334,46,42,john,r,false
335,192,125,on,URL,false
336,39,34,adam,joe,false
337,41,37,on,series,false
338,154,96,on,URL,false
339,123,82,,tom,false
340,172,122,,applications,false
341,1050,446,,URL,false
342,56,43,,j,false
343,159,100,justin,fork,false
344,272,168,,kearney,false
345,132,103,,picasso,false
346,136,101,gary,URL,false
347,63,48,joebar,r,false
348,188,133,,picasso,false
349,97,71,,picasso,false
350,74,58,mike,r,false
351,122,89,glm,r,false
352,262,164,on,URL,false
353,231,157,great,applications,false
354,261,154,on,URL,false
355,73,55,so,jim,false
356,140,105,at,empire,false
357,596,323,,picasso,false
358,15,15,first,jim,false
359,51,44,it,eirikur,false
360,93,71,,jim,false
361,147,97,we,jim,false
362,118,100,,picasso,false
363,17,16,eirikur,joe,false
364,268,108,gary,URL,false
365,224,145,,j,false
366,84,64,,frustrated,false
367,232,145,geege,pictures,false
368,330,186,on,URL,false
369,74,62,,bb,false
370,159,114,beberg,deed,false
371,91,73,reza,deed,false
372,1173,493,,further,false
373,119,86,on,URL,false
374,93,63,on,URL,false
375,182,133,on,eirikur,false
376,7,7,use,geege,false
377,102,77,on,njl,false
378,191,117,with,URL,false
379,124,91,,kids,false
380,117,78,,actually,false
381,1119,417,,s,false
382,193,124,on,URL,false
383,185,122,on,URL,false
384,215,140,sunday,genome,false
385,143,100,,doers,false
386,242,130,,doers,false
387,218,126,,doers,false
388,73,51,,doers,false
389,277,148,thanks,URL,false
390,26,22,what,URL,false
391,62,44,,URL,false
392,284,145,,URL,false
393,116,83,,URL,false
394,197,104,today,URL,false
395,201,104,on,URL,false
396,126,95,on,URL,false
397,118,75,hi,URL,false
398,680,304,thanks,URL,false
399,78,62,once,URL,false
400,129,85,on,URL,false
401,203,126,on,URL,false
402,128,87,,URL,false
403,42,35,,is,false
404,868,374,,masses,false
405,138,93,on,URL,false
406,200,141,on,happen,false
407,66,59,,picasso,false
408,111,72,,ownership,false
409,145,99,on,URL,false
410,191,130,i,URL,false
411,49,42,on,luis,false
412,612,289,congrats,arrived,false
413,732,331,of,URL,false
414,24,21,ah,URL,false
415,24,22,adam,us,false
416,747,336,on,URL,false
417,612,281,,empire,false
418,140,100,at,carlin,false
419,726,355,glad,road,false
420,329,173,hindus,time,false
421,378,208,hindus,URL,false
422,623,256,so,jim,false
423,148,125,,picasso,false
424,17,15,,unbelievable,false
425,196,128,shouldn,beautiful,false
426,208,137,jim,elias,false
427,678,331,,joe,false
428,228,146,someone,finn,false
429,82,61,,go,false
430,34,28,,is,false
431,125,84,,on,false
432,483,301,,picasso,false
433,225,134,mr,gordon,false
434,57,47,on,seals,false
435,187,129,on,walking,false
436,121,84,,URL,false
437,48,39,on,though,false
438,112,81,bitbitch,URL,false
439,191,127,,kearney,false
440,94,73,eirikur,lucas,false
441,162,106,,bill,false
442,583,318,i,finn,false
443,240,158,it,finn,false
444,25,23,someone,finn,false
445,85,66,adam,details,false
446,179,122,on,URL,false
447,647,295,adam,details,false
448,95,81,on,URL,false
449,340,212,hello,URL,false
450,1444,498,ah,URL,false
451,651,281,ouch,empire,false
452,1260,472,,deal,false
453,141,104,on,way,false
454,1264,493,i,on,false
455,333,191,lol,finn,false
456,142,105,on,eirikur,false
457,307,182,on,finn,false
458,277,174,this,eating,false
459,74,59,on,c,false
460,1264,493,i,on,false
461,319,184,on,w,false
462,44,40,these,tom,false
463,176,124,eugen,URL,false
464,320,185,on,sustainable,false
465,118,93,hi,perrone,false
466,223,136,,chances,false
467,58,49,,URL,false
468,192,118,turpin,URL,false
469,296,177,on,plan,false
470,49,46,originally,jim,false
471,21,17,,jim,false
472,72,60,on,number,false
473,205,129,,jim,false
474,65,53,in,jim,false
475,128,102,on,wsmf,false
476,425,239,,drivers,false
477,549,274,on,finn,false
478,194,151,,picasso,false
479,625,336,quitcherbraggin,finn,false
480,216,128,i,jim,false
481,648,341,why,finn,false
482,87,64,on,eirikur,false
483,769,365,if,finn,false
484,53,44,cdale,r,false
485,206,130,robert,URL,false
486,695,343,unwritten,finn,false
487,260,166,cdale,URL,false
488,301,192,hah,finn,false
489,235,153,oh,finn,false
490,195,108,definitional,gordon,false
491,58,52,cdale,URL,false
492,116,90,intersectedness,URL,false
493,111,86,today,NUMBER,false
494,148,106,,URL,false
495,214,139,on,URL,false
496,381,187,robert,gordon,false
497,120,82,on,account,false
498,167,133,,picasso,false
499,221,133,on,details,false
500,473,266,on,URL,false
501,82,68,on,belt,false
502,28,25,who,gg,false
503,448,247,,picasso,false
504,186,129,,picasso,false
505,219,132,on,URL,false
506,132,97,i,finn,false
507,159,117,gary,gordon,false
508,128,104,,picasso,false
509,46,37,on,provoking,false
510,90,67,on,average,false
511,89,62,agreed,provoking,false
512,134,95,ok,average,false
513,108,82,on,degree,false
514,342,195,,URL,false
515,537,260,in,URL,false
516,95,78,,lucas,false
517,78,69,on,quicksand,false
518,430,244,on,list,false
519,48,41,on,luvin,false
520,191,135,on,rious,false
521,86,65,tom,lucas,false
522,613,291,,URL,false
523,152,97,,c,false
524,30,26,,out,false
525,281,166,bitbitch,gordon,false
526,765,360,,empire,false
527,330,184,just,org,false
528,376,186,here,tom,false
529,130,101,chris,shrimp,false
530,163,129,at,empire,false
531,191,127,,URL,false
532,146,80,isn,provoking,false
533,289,184,john,URL,false
534,216,140,on,njl,false
535,273,138,more,provoking,false
536,111,81,on,eirikur,false
537,173,113,any,finn,false
538,161,124,,picasso,false
539,179,134,,picasso,false
540,918,483,well,ports,false
541,66,49,on,down,false
542,233,167,you,picasso,false
543,208,144,gordon,r,false
544,204,146,,picasso,false
545,134,85,on,tom,false
546,118,92,,URL,false
547,1347,515,this,company,false
548,495,249,robert,gordon,false
549,281,180,dreams,picasso,false
550,308,173,,system,false
551,343,190,i,file,false
552,148,98,mr,gordon,false
553,1042,443,at,com,false
554,92,76,,picasso,false
555,94,68,september,finn,false
556,208,134,xdegrees,gordon,false
557,1310,658,,ahead,false
558,1347,597,,empire,false
559,317,167,,lively,false
560,45,41,on,there,false
561,68,47,,URL,false
562,19,17,i,chris,false
563,60,52,,URL,false
564,533,276,,ugh,false
565,100,79,,tom,false
566,187,134,yeshterday,tom,false
567,223,139,meant,tom,false
568,16,16,,URL,false
569,7418,1506,,are,false
570,137,99,,dave,false
571,154,111,dave,gordon,false
572,246,160,on,URL,false
573,26,24,,picasso,false
574,36,33,on,vore,false
575,90,76,on,starttls,false
576,113,81,,bill,false
577,282,176,,headlines,false
578,312,194,,edwards,false
579,133,100,,one,false
580,343,204,the,URL,false
581,71,56,as,greg,false
582,1087,515,an,decNUMBER,false
583,169,106,what,hands,false
584,20,19,the,forking,false
585,479,233,first,director,false
586,295,179,on,drives,false
587,91,75,the,jim,false
588,287,183,,wrong,false
589,637,356,john,sdw,false
590,562,290,,t,false
591,474,266,,empire,false
592,253,161,on,year,false
593,188,131,i,greg,false
594,923,386,,notice,false
595,16,13,,shrimp,false
596,651,346,,picasso,false
597,325,207,,j,false
598,124,95,chuck,r,false
599,103,79,on,luis,false
600,148,113,i,URL,false
601,211,155,on,owen,false
602,112,94,,picasso,false
603,99,81,probably,forking,false
604,299,187,on,URL,false
605,315,165,,model,false
606,73,57,,solution,false
607,104,79,,nationals,false
608,88,68,at,empire,false
609,98,77,because,finn,false
610,256,167,at,wayne,false
611,45,42,yes,everybody,false
612,81,72,,picasso,false
613,668,356,robert,gordon,false
614,30,29,,r,false
615,49,44,pity,r,false
616,45,40,cdale,shrimp,false
617,172,119,on,owen,false
618,188,125,well,finn,false
619,85,69,at,empire,false
620,212,133,,picasso,false
621,594,294,on,eirikur,false
622,416,273,gordon,r,false
623,281,169,hear,finn,false
624,117,90,perhaps,r,false
625,122,81,on,good,false
626,618,335,,empire,false
627,179,125,on,tom,false
628,237,154,church,empire,false
629,20,17,on,ashtrays,false
630,183,101,on,deal,false
631,237,126,advice,deal,false
632,64,44,at,com,false
633,239,130,less,deal,false
634,294,145,and,URL,false
635,143,105,tom,owen,false
636,82,69,this,horrendous,false
637,429,241,,URL,false
638,1638,620,this,discuss,false
639,117,92,,morbus,false
640,331,201,heh,owen,false
641,147,98,chuck,owen,false
642,6,6,chuck,r,false
643,37,34,r,URL,false
644,86,73,owne,URL,false
645,233,121,,tom,false
646,128,81,robert,URL,false
647,936,404,we,pda,false
648,61,49,,kearney,false
649,282,179,ben,yarns,false
650,50,44,geege,joe,false
651,103,87,,tom,false
652,306,177,,bill,false
653,421,219,bill,owen,false
654,274,170,on,tom,false
655,268,156,owen,quinion,false
656,354,213,,bill,false
657,199,118,what,URL,false
658,183,125,on,goverment,false
659,231,153,,politics,false
660,92,68,,pirates,false
661,128,96,,picasso,false
662,83,70,on,not,false
663,187,135,on,njl,false
664,76,46,,URL,false
665,81,49,,tom,false
666,407,243,well,said,false
667,449,242,,bill,false
668,546,292,i,empire,false
669,13244,2433,,begins,false
670,124,92,,picasso,false
671,187,125,glm,URL,false
672,54,45,and,URL,false
673,208,135,gary,URL,false
674,14,14,you,finn,false
675,46,41,,wayne,false
676,13304,2452,,begins,false
677,513,254,weird,goals,false
678,395,210,,NUMBER,false
679,71,54,,discuss,false
680,260,167,the,finn,false
681,111,89,at,empire,false
682,194,88,,jws,false
683,70,58,hello,URL,false
684,141,97,hello,URL,false
685,313,196,,picasso,false
686,126,98,,picasso,false
687,402,237,,empire,false
688,52,39,,switching,false
689,79,62,,xyz,false
690,98,75,,today,false
691,123,91,i,NUMBER,false
692,68,52,,max,false
693,56,46,,joke,false
694,69,60,,whom,false
695,183,89,,URL,false
696,98,68,,textiles,false
697,94,73,can,onward,false
698,133,96,gary,owen,false
699,252,160,,points,false
700,144,102,,jesus,false
701,125,97,lol,finn,false
702,108,84,,picasso,false
703,412,244,owen,owen,false
704,89,73,,joe,false
705,564,324,reminds,owen,false
706,228,133,,URL,false
707,79,65,on,whump,false
708,578,307,oh,picasso,false
709,148,85,,society,false
710,114,79,clearly,decNUMBER,false
711,933,426,,empire,false
712,2010,656,,picasso,false
713,343,214,gary,_,false
714,29,22,,tom,false
715,836,390,,empire,false
716,946,375,,empire,false
717,260,166,,points,false
718,1893,712,r,owen,false
719,278,188,hmm,elias,false
720,234,153,,time,false
721,78,66,,owen,false
722,102,74,,jim,false
723,157,102,,picasso,false
724,400,225,,bases,false
725,404,211,,jim,false
726,110,69,,jim,false
727,391,219,,jim,false
728,85,67,,bits,false
729,37,33,,crook,false
730,45,40,,data,false
731,75,55,,crook,false
732,1032,486,i,it,false
733,685,353,,minutes,false
734,1195,540,,URL,false
735,151,114,sorry,data,false
736,148,101,,pepper,false
737,812,427,i,NUMBER,false
738,37,30,,range,false
739,140,103,the,patients,false
740,205,139,sf,URL,false
741,196,119,on,her,false
742,55,42,,URL,false
743,1200,516,first,empire,false
744,887,447,good,minutes,false
745,1543,604,anyone,empire,false
746,1068,502,thanks,it,false
747,111,64,of,crook,false
748,118,88,at,empire,false
749,124,94,at,empire,false
750,211,143,on,tom,false
751,54,42,on,URL,false
752,58,46,mr,URL,false
753,67,53,on,whump,false
754,164,113,funny,URL,false
755,103,76,at,empire,false
756,79,64,at,empire,false
757,233,137,depends,both,false
758,34,33,it,wayne,false
759,30,26,per,geege,false
760,347,192,from,both,false
761,44,34,,tom,false
762,85,65,on,tommeat,false
763,21,18,this,shrimp,false
764,5982,1565,,empire,false
765,136,93,this,overregulation,false
766,268,158,,URL,false
767,73,57,,geege,false
768,241,151,,tom,false
769,490,238,on,URL,false
770,445,236,,both,false
771,76,61,,building,false
772,86,66,o,rohit,false
773,67,58,on,section,false
774,102,71,liberalism,URL,false
775,449,220,righ,empire,false
776,205,144,anyone,rk,false
777,98,73,russell,r,false
778,239,138,,lucas,false
779,965,472,,empire,false
780,823,367,ok,jim,false
781,391,233,,distinctions,false
782,166,115,,tom,false
783,66,52,on,it,false
784,210,128,on,URL,false
785,68,52,let,wind,false
786,42,34,a,URL,false
787,42,34,a,URL,false
788,65,50,,URL,false
789,37,28,wow,icons,false
790,145,99,,jeff,false
791,92,72,on,misconfiguratNUMBERion,false
792,1432,536,,NUMBER,false
793,213,128,,URL,false
794,79,64,on,bunnies,false
795,250,150,adjournment,NUMBER,false
796,423,226,i,max,false
797,522,254,what,greg,false
798,643,301,i,greg,false
799,398,233,,picasso,false
800,248,150,on,URL,false
801,133,97,at,com,false
802,93,76,,picasso,false
803,171,114,dear,elias,false
804,411,218,gary,greg,false
805,109,83,at,com,false
806,2,2,,URL,false
807,1715,680,this,company,false
808,299,193,michael,greg,false
809,243,165,owen,greg,false
810,767,365,,URL,false
811,75,61,,bill,false
812,188,135,gregory,owen,false
813,13,13,,URL,false
814,334,189,,bill,false
815,82,67,bill,shrimp,false
816,178,119,,URL,false
817,254,157,bitbitch,owen,false
818,228,135,bill,owen,false
819,99,79,,interested,false
820,234,142,on,URL,false
821,258,153,hello,URL,false
822,96,67,,weak,false
823,252,165,,spam,false
824,106,84,,whine,false
825,97,74,on,shades,false
826,226,145,,bill,false
827,640,302,hello,URL,false
828,378,235,on,policies,false
829,97,75,gregory,URL,false
830,1207,471,one,etc,false
831,109,61,wow,details,false
832,263,164,,jim,false
833,9,9,,cliff,false
834,1252,495,neat,etc,false
835,279,155,russell,URL,false
836,50,35,at,cell,false
837,129,88,better,cell,false
838,48,40,on,eirikur,false
839,132,87,bitbitch,elias,false
840,175,103,hello,URL,false
841,130,91,at,empire,false
842,329,185,,want,false
843,124,95,uh,eirikur,false
844,390,208,that,want,false
845,129,106,,URL,false
846,256,157,kind,forecast,false
847,63,51,mf,evil,false
848,143,89,,URL,false
849,205,135,,picasso,false
850,406,228,,picasso,false
851,73,58,,clueless,false
852,103,78,,that,false
853,71,54,,picasso,false
854,518,292,,empire,false
855,295,184,,asked,false
856,229,142,NUMBER,differnce,false
857,615,345,,empire,false
858,81,62,,kragen,false
859,93,70,,joke,false
860,272,160,,empire,false
861,54,40,,NUMBER,false
862,373,226,on,tom,false
863,82,64,at,empire,false
864,385,202,,foolish,false
865,692,316,this,company,false
866,80,68,,picasso,false
867,360,199,,URL,false
868,90,75,on,eirikur,false
869,187,125,,empire,false
870,155,109,at,swift,false
871,92,62,,picasso,false
872,40,31,people,shrimp,false
873,55,53,,picasso,false
874,48,42,,picasso,false
875,281,142,,empire,false
876,87,71,,picasso,false
877,382,219,normally,decNUMBER,false
878,566,291,draw,decNUMBER,false
879,101,79,on,wander,false
880,20,17,hello,URL,false
881,30,28,not,URL,false
882,149,106,i,yuck,false
883,46,41,greetings,URL,false
884,378,214,,list,false
885,236,146,,said,false
886,70,52,on,URL,false
887,282,172,,said,false
888,168,108,does,sdw,false
889,122,88,,URL,false
890,128,98,geege,owen,false
891,184,123,the,NUMBER,false
892,2438,747,gary,NUMBER,false
893,80,63,,delendam,false
894,151,108,she,delendam,false
895,399,236,i,delendam,false
896,234,139,,delendam,false
897,33,30,,occupants,false
898,77,54,john,owen,false
899,127,88,see,owen,false
900,146,100,when,owen,false
901,169,109,when,idiot,false
902,95,62,yes,idiot,false
903,372,180,i,NUMBER,false
904,244,153,it,finn,false
905,82,61,on,alltogther,false
906,142,101,i,URL,false
907,243,150,dave,owen,false
908,54,47,,URL,false
909,112,79,hello,URL,false
910,268,157,they,URL,false
911,374,203,,URL,false
912,451,223,on,URL,false
913,237,157,why,architecture,false
914,56,47,chris,URL,false
915,503,252,,URL,false
916,101,67,,URL,false
917,99,84,on,URL,false
918,35,30,i,URL,false
919,117,92,bitbitch,deed,false
920,157,107,on,URL,false
921,146,98,at,URL,false
922,151,108,on,URL,false
923,84,59,suppose,URL,false
924,240,157,at,URL,false
925,392,207,i,URL,false
926,137,102,interesting,URL,false
927,67,54,,URL,false
928,171,115,at,URL,false
929,150,109,on,URL,false
930,2930,897,no,NUMBER,false
931,270,164,,investors,false
932,60,44,on,URL,false
